County,Population,Area (sq km),Population density (person/km^2),High school percentage,Persons per household,Persons in poverty percentage,Median income,Never,Rarely,Sometimes,Frequently,Always,1_months_before_order deaths/cases percentage,1_months_after_order deaths/cases percentage,change in deaths/cases percentage,status of the change
Shasta County,180080,9778.248246,18.4163866,91.1,2.49,13.3,54667,0.095,0.056,0.071,0.232,0.547,0,1.234567901,1.234567901,increase
Sierra County,3005,2468.804368,1.217188384,92.4,2.34,12.7,52148,0.14,0.053,0.047,0.143,0.617,0,0,0,no change
Siskiyou County,43539,16259.67232,2.67772924,90.2,2.23,17.4,45241,0.132,0.074,0.082,0.167,0.546,0,0,0,no change
Solano County,447643,2128.376082,210.3213825,88.4,2.87,9,81472,0.043,0.046,0.035,0.148,0.728,1.832460733,0.454029512,-1.378431221,decrease
Sonoma County,494336,4081.435742,121.1181631,88.8,2.6,7.2,81018,0.022,0.012,0.022,0.149,0.795,0,1.197126895,1.197126895,increase
Stanislaus County,550660,3871.594752,142.2307951,78.9,3.09,13,60704,0.032,0.028,0.062,0.173,0.705,1.464713715,0.583613917,-0.881099798,decrease
Sutter County,96971,1560.235876,62.15149997,78.2,2.93,12.8,59050,0.058,0.031,0.08,0.163,0.669,1.851851852,0.263852243,-1.587999609,decrease
Tehama County,65084,7639.719403,8.519161054,84.5,2.6,16.3,44514,0.057,0.062,0.141,0.195,0.545,0,0,0,no change
Trinity County,12285,8234.225708,1.491943558,92.4,2.17,16.5,40846,0.081,0.07,0.055,0.201,0.592,0,0,0,no change
Tulare County,466195,12494.68156,37.31147511,70.8,3.34,18.9,49687,0.025,0.039,0.115,0.136,0.685,2.687801516,1.551814834,-1.135986682,decrease
Tuolumne County,54478,5752.056991,9.471046633,90.7,2.25,11.3,60108,0.008,0.043,0.084,0.212,0.653,0,0,0,no change
Ventura County,846006,4773.688269,177.2227159,85,3.08,8.2,88131,0.024,0.011,0.033,0.156,0.777,1.6985138,0.459840589,-1.238673212,decrease
Yolo County,220500,2628.036953,83.90292981,86.5,2.81,16.9,70228,0.007,0.005,0.04,0.156,0.791,1.869158879,0.864197531,-1.004961348,decrease
Yuba County,78668,1636.459282,48.07207907,82.3,2.83,15.2,58054,0.057,0.035,0.071,0.167,0.669,0,1.015228426,1.015228426,increase
